fight_id,fight_seq,event_date,bout_order,fighter_a_id,fighter_b_id,outcome,method,round_no,total_rounds,weight_class,bout_type,EVENT,BOUT,fighter_a,fighter_b,winner_id,loser_id,method_bucket,method_detail,time_seconds,bout_length_minutes,referee,details
ufc-328-chimaev-vs-strickland__khamzat-chimaev-vs-sean-strickland__1,1,2026-05-09,13,2523,3850,b_win,Decision,5,5,middleweight,title,UFC 328: Chimaev vs. Strickland,Khamzat Chimaev vs. Sean Strickland,Khamzat Chimaev,Sean Strickland,3850,2523,decision,Decision - Split ,300,25,Herb Dean,Sue Sanidad 48 - 47.Eric Colon 47 - 48.Sal D'amato 47 - 48.
ufc-328-chimaev-vs-strickland__joshua-van-vs-tatsuro-taira__1,1,2026-05-09,12,2290,4062,a_win,KO/TKO,5,5,flyweight,title,UFC 328: Chimaev vs. Strickland,Joshua Van vs. Tatsuro Taira,Joshua Van,Tatsuro Taira,2290,4062,ko_tko,KO/TKO ,92,25,Vitor Ribeiro,Punches to Head At Distance 
ufc-328-chimaev-vs-strickland__alexander-volkov-vs-waldo-cortes-acosta__1,1,2026-05-09,11,164,4321,a_win,Decision,3,3,heavyweight,non_title,UFC 328: Chimaev vs. Strickland,Alexander Volkov vs. Waldo Cortes Acosta,Alexander Volkov,Waldo Cortes Acosta,164,4321,decision,Decision - Unanimous ,300,15,Mike Beltran,Jon Bilyk 27 - 30.Henry Krawiec 28 - 29.Dave Tirelli 28 - 29.
ufc-328-chimaev-vs-strickland__sean-brady-vs-joaquin-buckley__1,1,2026-05-09,10,3832,2051,a_win,Decision,3,3,welterweight,non_title,UFC 328: Chimaev vs. Strickland,Sean Brady vs. Joaquin Buckley,Sean Brady,Joaquin Buckley,3832,2051,decision,Decision - Unanimous ,300,15,Keith Peterson,Eric Colon 25 - 30.Sal D'amato 25 - 30.Dave Tirelli 27 - 30.
ufc-328-chimaev-vs-strickland__king-green-vs-jeremy-stephens__1,1,2026-05-09,9,2536,1972,a_win,Submission,1,3,lightweight,non_title,UFC 328: Chimaev vs. Strickland,King Green vs. Jeremy Stephens,King Green,Jeremy Stephens,2536,1972,submission,Submission ,260,15,Gary Copeland,Rear Naked Choke 
ufc-328-chimaev-vs-strickland__ateba-gautier-vs-ozzy-diaz__1,1,2026-05-09,8,367,3312,a_win,KO/TKO,2,3,middleweight,non_title,UFC 328: Chimaev vs. Strickland,Ateba Gautier vs. Ozzy Diaz,Ateba Gautier,Ozzy Diaz,367,3312,ko_tko,KO/TKO ,70,15,Gary Copeland,Punch to Head At Distance 
ufc-328-chimaev-vs-strickland__joel-alvarez-vs-yaroslav-amosov__1,1,2026-05-09,7,2091,4392,b_win,Submission,2,3,welterweight,non_title,UFC 328: Chimaev vs. Strickland,Joel Alvarez vs. Yaroslav Amosov,Joel Alvarez,Yaroslav Amosov,4392,2091,submission,Submission ,73,15,Keith Peterson,Arm Triangle On Ground 
ufc-328-chimaev-vs-strickland__grant-dawson-vs-mateusz-rebecki__1,1,2026-05-09,6,1563,2938,a_win,Submission,3,3,lightweight,non_title,UFC 328: Chimaev vs. Strickland,Grant Dawson vs. Mateusz Rebecki,Grant Dawson,Mateusz Rebecki,1563,2938,submission,Submission ,282,15,Mike Beltran,Rear Naked Choke 
ufc-328-chimaev-vs-strickland__jim-miller-vs-jared-gordon__1,1,2026-05-09,5,2017,1872,a_win,Submission,1,3,lightweight,non_title,UFC 328: Chimaev vs. Strickland,Jim Miller vs. Jared Gordon,Jim Miller,Jared Gordon,2017,1872,submission,Submission ,209,15,Keith Peterson,Guillotine Choke From Bottom Guard 
ufc-328-chimaev-vs-strickland__roman-kopylov-vs-marco-tulio__1,1,2026-05-09,4,3655,2836,a_win,Decision,3,3,middleweight,non_title,UFC 328: Chimaev vs. Strickland,Roman Kopylov vs. Marco Tulio,Roman Kopylov,Marco Tulio,3655,2836,decision,Decision - Unanimous ,300,15,Gasper Oliver,Ricardo Almeida 28 - 29.Adrian Castro 28 - 29.Sue Sanidad 28 - 29.
ufc-328-chimaev-vs-strickland__pat-sabatini-vs-william-gomis__1,1,2026-05-09,3,3331,4356,a_win,Decision,3,3,featherweight,non_title,UFC 328: Chimaev vs. Strickland,Pat Sabatini vs. William Gomis,Pat Sabatini,William Gomis,3331,4356,decision,Decision - Unanimous ,300,15,Vincent Dudley,Eric Colon 28 - 29.Jon Bilyk 27 - 30.Henry Krawiec 27 - 30.
