EVENT,BOUT,WEIGHTCLASS,weight_class,title_type,is_womens,is_tournament
UFC 328: Chimaev vs. Strickland ,Khamzat Chimaev vs. Sean Strickland,UFC Middleweight Title Bout,middleweight,title,False,False
UFC 328: Chimaev vs. Strickland ,Joshua Van vs. Tatsuro Taira,UFC Flyweight Title Bout,flyweight,title,False,False
UFC 328: Chimaev vs. Strickland ,Alexander Volkov vs. Waldo Cortes Acosta,Heavyweight Bout,heavyweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Sean Brady vs. Joaquin Buckley,Welterweight Bout,welterweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,King Green vs. Jeremy Stephens,Lightweight Bout,lightweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Ateba Gautier vs. Ozzy Diaz,Middleweight Bout,middleweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Joel Alvarez vs. Yaroslav Amosov,Welterweight Bout,welterweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Grant Dawson vs. Mateusz Rebecki,Lightweight Bout,lightweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Jim Miller vs. Jared Gordon,Lightweight Bout,lightweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Roman Kopylov vs. Marco Tulio,Middleweight Bout,middleweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Pat Sabatini vs. William Gomis,Featherweight Bout,featherweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Baisangur Susurkaev vs. Djorden Santos,Middleweight Bout,middleweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Clayton Carpenter vs. Jose Ochoa,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Jack Della Maddalena vs. Carlos Prates,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Beneil Dariush vs. Quillan Salkilld,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Tim Elliott vs. Steve Erceg,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Marwan Rahiki vs. Ollie Schmid,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Shamil Gaziev vs. Brando Pericic,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Tai Tuivasa vs. Louie Sutherland,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Cam Rowston vs. Robert Bryczek,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Junior Tafa vs. Kevin Christian,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Jacob Malkoun vs. Gerald Meerschaert,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Colby Thicknesse vs. Vince Morales,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Ben Johnston vs. Wes Schultz,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Jonathan Micallef vs. Themba Gorimbo,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Dom Mar Fan vs. Kody Steele,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Aljamain Sterling vs. Youssef Zalal,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Norma Dumont vs. Joselyne Edwards,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Sterling vs. Zalal ,Rafa Garcia vs. Alexander Hernandez,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Davey Grant vs. Adrian Luna Martinetti,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Montel Jackson vs. Raoni Barcelos,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Marcus Buchecha vs. Ryan Spann,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Rodolfo Vieira vs. Eric McConico,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Jackson McVey vs. Sedriques Dumas,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Mayra Bueno Silva vs. Michelle Montague,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Sterling vs. Zalal ,Jafel Filho vs. Cody Durden,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Francis Marshall vs. Lucas Brennan,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Max Griffin vs. Victor Valenzuela,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Talita Alencar vs. Julia Polastri,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Burns vs. Malott ,Gilbert Burns vs. Mike Malott,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Burns vs. Malott ,Kyler Phillips vs. Charles Jourdain,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Burns vs. Malott ,Mandel Nallo vs. Jai Herbert,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Burns vs. Malott ,Jasmine Jasudavicius vs. Karine Silva,Women's Flyweight Bout,flyweight,regular,True,False
