fighter_id,canonical_name,first_name,last_name,nickname,dob,height_cm,weight_lbs,reach_in,stance,ufc_url_slug
1,AJ Cunningham,AJ,Cunningham,The Savage,1994-09-07,177.8,135.0,71.0,Orthodox,d1053e55f00e53fe
2,AJ Dobson,AJ,Dobson,,1992-01-18,185.4,185.0,76.0,Orthodox,009c4420727149ea
3,AJ Fletcher,AJ,Fletcher,The Ghost,1997-02-18,177.8,170.0,67.0,Switch,725b1abc9a39d873
4,AJ Fonseca,AJ,Fonseca,,,162.6,145.0,,,0adf1aacda5e26ac
5,AJ Matthews,AJ,Matthews,,,180.3,185.0,,,18e4f61f16f458c6
6,AJ McKee,AJ,McKee,Mercenary,,177.8,145.0,,,f3ec0214794a699e
7,AJ Siscoe,AJ,Siscoe,Let's Go,,170.2,135.0,,,fce9b4056a8ef559
8,Aalon Cruz,Aalon,Cruz,,1989-09-20,182.9,145.0,78.0,Switch,003d82fa384ca1d0
9,Aaron Brink,Aaron,Brink,,1974-11-12,190.5,205.0,,Orthodox,cf1a88371c8cb690
10,Aaron Ely,Aaron,Ely,The Cyborg,1989-03-18,172.7,135.0,,,1741343f0ca34dd5
11,Aaron Jeffery,Aaron,Jeffery,,1992-11-14,188.0,185.0,73.0,Orthodox,ccdcb20370be62a3
12,Aaron Lanfranco,Aaron,Lanfranco,,1986-08-26,,155.0,,,d73e856f150744b2
13,Aaron Miller,Aaron,Miller,Blood Spiller,,175.3,145.0,,,a4d055f1435d6d75
14,Aaron Phillips,Aaron,Phillips,The Dragon,1989-08-05,175.3,135.0,71.0,Southpaw,34c2b3656f88f7ef
15,Aaron Pico,Aaron,Pico,,1996-09-23,172.7,145.0,70.0,Orthodox,5537efc6e496dd84
16,Aaron Riley,Aaron,Riley,,1980-12-09,172.7,155.0,69.0,Southpaw,f2c8ebbeafd45f2b
17,Aaron Rosa,Aaron,Rosa,,1983-05-28,193.0,205.0,77.0,Orthodox,11f8860028b68fcf
18,Aaron Simpson,Aaron,Simpson,A-Train,1974-07-20,182.9,170.0,73.0,Orthodox,d5f820c11a121050
19,Aaron Tau,Aaron,Tau,Tauzemup,1993-08-21,162.6,125.0,66.0,Switch,7abf7f8778472b7b
20,Aaron Trujillo,Aaron,Trujillo,,,165.1,125.0,,,cc18abc046b382c9
21,Aaron Wetherspoon,Aaron,Wetherspoon,Slam,,,170.0,,,1ce7998e0a215caa
22,Aaron Wilkinson,Aaron,Wilkinson,The Daywalker,1987-01-31,177.8,155.0,,Orthodox,338a11d3674eb2d4
23,Abdellah Er-Ramy,Abdellah,Er-Ramy,The Golden Boy,1996-09-19,182.9,185.0,74.0,Orthodox,b593cd58b0afffb0
24,Abdul Azeem Badakhshi,Abdul Azeem,Badakhshi,The Afghan Lion,,,145.0,,,968764372c49eab6
25,Abdul Rakhman Yakhyaev,Abdul Rakhman,Yakhyaev,The Hunter,2001-01-03,188.0,205.0,78.0,Orthodox,95aff2fd8d09a5f0
26,Abdul Razak Alhassan,Abdul,Razak Alhassan,,1985-08-11,177.8,185.0,73.0,Orthodox,eae431e70064e046
27,Abdul-Kareem Al-Selwady,Abdul-Kareem,Al-Selwady,Pride of Palestine,1995-04-10,172.7,155.0,69.0,Orthodox,597499ac7a5aac62
28,Abdul-Kerim Edilov,Abdul-Kerim,Edilov,,1991-11-25,188.0,205.0,,Orthodox,37e03538c960bac6
29,Abel Cullum,Abel,Cullum,The Silent Assassin,1987-04-21,170.2,139.0,,Orthodox,2f8f3c69522db931
30,Abel Trujillo,Abel,Trujillo,Killa,1983-09-18,172.7,155.0,70.0,Orthodox,e14b5aa06eea9653
31,Abner Lloveras,Abner,Lloveras,Skullman,1982-09-04,180.3,155.0,,,6448e57a9533b7e4
32,Abongo Humphrey,Abongo,Humphrey,,,180.3,205.0,,Orthodox,cb1b4d237b0079e6
33,Abram Torres,Abram,Torres,,1982-10-29,177.8,170.0,,,e175a261a280f7cb
34,Abu Azaitar,Abu,Azaitar,Captain Morocco,1986-03-10,175.3,185.0,76.0,Orthodox,46d0a888d87d91ac
35,Abubakar Nurmagomedov,Abubakar,Nurmagomedov,,1989-11-13,180.3,170.0,72.0,Orthodox,029e1293e609fd74
36,Abubakar Vagaev,Abubakar,Vagaev,,1993-04-14,,170.0,,,f7adc1fd115f8fdd
37,Abus Magomedov,Abus,Magomedov,,1990-09-02,188.0,185.0,78.0,Orthodox,36b8f265bcd1b7a4
38,Acacio Dos Santos,Acacio,Dos Santos,Pequeno,1991-09-29,193.0,205.0,79.0,Orthodox,957562fdf68a725a
39,Achilles Estremadura,Achilles,Estremadura,,1992-03-11,177.8,155.0,68.0,Orthodox,41f3cfdab0b22236
40,Achmed Labasanov,Achmed,Labasanov,,1978-04-24,190.5,215.0,,Orthodox,b3fb8d2293e17a59
41,Adam Antolin,Adam,Antolin,Captain Chaos,1982-02-28,165.1,125.0,63.0,Orthodox,25b31165758402dd
42,Adam Bramhald,Adam,Bramhald,Samurai,1994-03-24,177.8,135.0,70.0,Orthodox,3c99bd6cb5d835ef
43,Adam Cella,Adam,Cella,El Naturel,1985-06-26,188.0,170.0,,,b27b8881d7444114
44,Adam Fugitt,Adam,Fugitt,,1989-01-12,185.4,170.0,77.0,Southpaw,a01a62132460a98d
45,Adam Hunter,Adam,Hunter,Warhammer,1983-10-16,185.4,185.0,,Orthodox,edc9eb3051f444fa
46,Adam Khaliev,Adam,Khaliev,,1984-04-16,182.9,170.0,,Orthodox,1aba18b5f15d4956
47,Adam Livingston,Adam,Livingston,Bomb,2001-08-15,188.0,155.0,71.0,Orthodox,515890922fe9ce96
48,Adam Lynn,Adam,Lynn,,,177.8,155.0,,Orthodox,edfe95e3c33a4bf8
49,Adam Meredith,Adam,Meredith,,,188.0,170.0,,,c1135a6892e916db
50,Adam Milstead,Adam,Milstead,The Prototype,1987-07-03,190.5,205.0,76.0,Orthodox,72ffecf712673af1
51,Adam Piccolotti,Adam,Piccolotti,,1988-10-23,180.3,155.0,,,fa399f7f6e17f7f5
52,Adam Schindler,Adam,Schindler,,1983-05-19,172.7,155.0,,,89ea01f5a7ada40c
53,Adam Smith,Adam,Smith,,,,,,,754968e325d6f60d
54,Adam Steele,Adam,Steele,,,,170.0,,,16044bd8762cf794
55,Adam Wieczorek,Adam,Wieczorek,Siwy,1992-02-05,195.6,250.0,81.0,Orthodox,efa1f6b42c86793c
56,Adam Yandiev,Adam,Yandiev,Boroda,1988-08-07,175.3,185.0,74.0,Orthodox,0a95c474e61a6c44
57,Adilet Nurmatov,Adilet,Nurmatov,Kok-Zhal,1997-08-02,,155.0,,,689502703bbfe5f2
58,Adin Duenas,Adin,Duenas,,1988-07-02,167.6,145.0,,,cb6c45b26b0a877a
59,Adlan Amagov,Adlan,Amagov,Borz,1986-10-30,188.0,170.0,76.0,Orthodox,1e327b281ef6a745
60,Adli Edwards,Adli,Edwards,,1989-08-28,,145.0,,,e6904a03a66e711d
61,Adrian Diaz,Adrian,Diaz,,1988-04-26,177.8,145.0,,Southpaw,bfa8f263815cfa2e
62,Adrian Luna Martinetti,Adrian Luna,Martinetti,,1995-08-20,,135.0,,,e3b30b573e7f0d19
63,Adrian Serrano,Adrian,Serrano,,1963-12-23,172.7,170.0,,,e7ec11096eac0282
64,Adrian Yanez,Adrian,Yanez,,1993-11-29,170.2,135.0,70.0,Orthodox,0232cabbc30a2372
65,Adriano Martins,Adriano,Martins,,1982-12-16,177.8,155.0,72.0,Southpaw,7dcf06c1967801c1
66,Adriano Santos,Adriano,Santos,,,,,,,c6e6926a81adcd00
67,Adrienna Jenkins,Adrienna,Jenkins,AJ,1981-07-22,172.7,145.0,,,dae85a6a83f53215
68,Agulali,,Agulali,,2005-04-07,175.3,125.0,67.0,Switch,b2efa582adf73604
69,Ahejiang Ailinuer,Ahejiang,Ailinuer,,,,145.0,,,ff584c17bccbae0b
70,Ahmad Hassanzada,Ahmad,Hassanzada,Lion of the Ring,1996-11-20,185.4,155.0,75.0,Orthodox,bf7a64d9ae343e86
71,Aiemann Zahabi,Aiemann,Zahabi,,1987-11-19,172.7,135.0,68.0,Orthodox,24656ef4d605c96f
72,Ailin Perez,Ailin,Perez,Fiona,1994-10-05,165.1,135.0,66.0,Switch,06e4245d16fc5315
73,Ailiya Muratbek,Ailiya,Muratbek,,,,155.0,,,9b6dcc335ad03696
74,Aisling Daly,Aisling,Daly,Ais the Bash,1987-12-24,157.5,115.0,64.0,Orthodox,e50cd77732d39967
75,Aji Susilo,Aji,Susilo,,,177.8,155.0,,,22af3546bd967280
76,Akbarh Arreola,Akbarh,Arreola,El Caballero,1983-01-14,177.8,155.0,71.0,Southpaw,c136b2a8852da5bd
77,Akihiro Gono,Akihiro,Gono,,1974-10-07,170.2,170.0,68.0,Switch,b2acebbef8da14ea
78,Akihito Tanaka,Akihito,Tanaka,Kinniku Mantaro,,,,,Southpaw,1bf49bf829964144
79,Akira Corassani,Akira,Corassani,,1982-08-27,172.7,145.0,68.0,Orthodox,3f52ce18fb98008f
80,Akira Kikuchi,Akira,Kikuchi,,1978-07-23,172.7,155.0,,Orthodox,9c37681096c6f3a9
81,Akira Shoji,Akira,Shoji,,1974-01-31,172.7,195.0,,Orthodox,b0c95dc8e858452c
82,Akitoshi Tamura,Akitoshi,Tamura,The Ironman,1980-05-31,175.3,135.0,70.0,Orthodox,c95fbc085e17a532
83,Akiyo Nishiura,Akiyo,Nishiura,Wicky Akiyo,1983-08-08,172.7,139.0,,Southpaw,6c9383ffab2725a5
84,Al Iaquinta,Al,Iaquinta,Raging,1987-04-30,177.8,155.0,70.0,Orthodox,59279a7c978f7da0
85,Al Matavao,Al,Matavao,Sweetness,1994-02-23,172.7,205.0,67.0,Orthodox,eec3fe66a8b11a26
86,Alain Van der Merckt,Alain,Van der Merckt,Top Boy,1993-06-11,,185.0,,,f6bbc6ba4f06ad60
87,Alan Baudot,Alan,Baudot,The Black Samourai,1988-02-01,190.5,243.0,79.0,Orthodox,c9a94278df042f46
88,Alan Belcher,Alan,Belcher,The Talent,1984-04-24,188.0,185.0,75.0,Orthodox,4130a743d9d22163
89,Alan Gomez,Alan,Gomez,,,,155.0,,,0a66de3a797cf73a
90,Alan Hiro,Alan,Hiro,Yamaniha,1986-04-04,165.1,135.0,,Orthodox,483b3170b3c05cf0
91,Alan Jouban,Alan,Jouban,Brahma,1981-11-25,182.9,170.0,73.0,Southpaw,cf65d56b0755ed3b
92,Alan Omer,Alan,Omer,,1988-09-14,177.8,145.0,,Orthodox,f2ad06f1007c481a
93,Alan Patrick,Alan,Patrick,Nuguette,1983-07-19,180.3,155.0,74.0,Southpaw,cd7763bcadb5d4c8
94,Alatengheili,,Alatengheili,The Mongolian Knight,1991-12-14,165.1,135.0,66.0,Orthodox,1897b7b913736a7c
95,Alavutdin Gadjiev,Alavutdin,Gadjiev,,1982-06-23,188.0,185.0,,Orthodox,a7a79b8efbceaaac
96,Albert Cheng,Albert,Cheng,,1985-02-07,180.3,170.0,,Orthodox,d8d7b24d276c8cb0
