name,fighter_id,match_type,score
AJ Cunningham,1,exact,100
AJ Dobson,2,exact,100
AJ Fletcher,3,exact,100
Aalon Cruz,8,exact,100
Aaron Brink,9,exact,100
Aaron Phillips,14,exact,100
Aaron Pico,15,exact,100
Aaron Riley,16,exact,100
Aaron Rosa,17,exact,100
Aaron Simpson,18,exact,100
Aaron Wilkinson,22,exact,100
Abdul Rakhman Yakhyaev,25,exact,100
Abdul Razak Alhassan,26,exact,100
Abdul-Kareem Al-Selwady,27,exact,100
Abdul-Kerim Edilov,28,exact,100
Abel Trujillo,30,exact,100
Abner Lloveras,31,exact,100
Abu Azaitar,34,exact,100
Abubakar Nurmagomedov,35,exact,100
Abus Magomedov,37,exact,100
Adam Cella,43,exact,100
Adam Fugitt,44,exact,100
Adam Milstead,50,exact,100
Adam Wieczorek,55,exact,100
Adam Yandiev,56,exact,100
Adlan Amagov,59,exact,100
Adrian Luna Martinetti,62,exact,100
Adrian Serrano,63,exact,100
Adrian Yanez,64,exact,100
Adriano Martins,65,exact,100
Adriano Santos,66,exact,100
Aiemann Zahabi,71,exact,100
Ailin Perez,72,exact,100
Aisling Daly,74,exact,100
Akbarh Arreola,76,exact,100
Akihiro Gono,77,exact,100
Akira Corassani,79,exact,100
Al Iaquinta,84,exact,100
Alan Baudot,87,exact,100
Alan Belcher,88,exact,100
Alan Jouban,91,exact,100
Alan Omer,92,exact,100
Alan Patrick,93,exact,100
Alatengheili,94,exact,100
Albert Cheng,96,exact,100
Albert Duraev,97,exact,100
Albert Morales,98,exact,100
Albert Tumenov,101,exact,100
Alberta Cerra Leon,102,exact,100
Alberto Crane,103,exact,100
Alberto Mina,104,exact,100
Alberto Montes,105,exact,100
Alberto Uda,106,exact,100
Alden Coria,107,exact,100
Alejandro Perez,110,exact,100
Aleksa Camur,112,exact,100
Aleksandar Rakic,113,exact,100
Aleksandra Albu,115,exact,100
Aleksandre Topuria,116,exact,100
Aleksei Kunchenko,117,exact,100
Aleksei Oleinik,118,exact,100
Alen Amedovski,119,exact,100
Alessandro Costa,120,exact,100
Alessio Di Chirico,121,exact,100
Alessio Sakara,122,exact,100
Alex Andrade,123,exact,100
Alex Caceres,124,exact,100
Alex Chambers,125,exact,100
Alex Da Silva,127,exact,100
Alex Garcia,130,exact,100
Alex Gorgees,132,exact,100
Alex Hunter,135,exact,100
Alex Karalexis,136,exact,100
Alex Morono,137,exact,100
Alex Nicholson,138,exact,100
Alex Oliveira,139,exact,100
Alex Pereira,140,exact,100
Alex Perez,141,exact,100
Alex Reyes,142,exact,100
Alex Ricci,143,exact,100
Alex Schoenauer,144,exact,100
Alex Soto,146,exact,100
Alex Stiebling,147,exact,100
Alex Torres,148,exact,100
Alex White,149,exact,100
Alexa Grasso,151,exact,100
Alexander Gustafsson,153,exact,100
Alexander Hernandez,154,exact,100
Alexander Munoz,156,exact,100
Alexander Volkanovski,163,exact,100
Alexander Volkov,164,exact,100
Alexander Yakovlev,165,exact,100
Alexandr Romanov,166,exact,100
Alexandre Barros,167,exact,100
Alexandre Dantas,168,exact,100
Alexandre Ferreira,169,exact,100
Alexandre Pantoja,171,exact,100
Alexia Thainara,173,exact,100
Alexis Davis,174,exact,100
Alexis Dufresne,175,exact,100
Alfonso Alcarez,176,exact,100
Ali AlQaisi,178,exact,100
Ali Bagautinov,179,exact,100
Aliaskhab Khizriev,180,exact,100
Alibi Idiris,181,exact,100
Alice Ardelean,182,exact,100
Alice Pereira,183,exact,100
Alistair Overeem,186,exact,100
Aljamain Sterling,187,exact,100
Allan Goes,189,exact,100
Allan Nascimento,190,exact,100
Allan Zuniga,191,exact,100
Allen Berube,192,exact,100
Allen Crowder,193,exact,100
Allen Frye Jr.,194,exact,100
Alonzo Menifield,196,exact,100
Alptekin Ozkilic,197,exact,100
Alvaro Herrera Mendoza,199,exact,100
Alvin Hines,201,exact,100
Alvin Robinson,202,exact,100
Amanda Cooper,204,exact,100
Amanda Lemos,205,exact,100
Amanda Nunes,206,exact,100
Amanda Ribas,207,exact,100
Amar Suloev,208,exact,100
Amaury Bitetti,209,exact,100
Amilcar Alves,211,exact,100
Amir Albazi,212,exact,100
Amir Sadollah,215,exact,100
Anderson Dos Santos,220,exact,100
Anderson Silva,221,exact,100
Andre Ewell,223,exact,100
Andre Fialho,224,exact,100
Andre Fili,225,exact,100
Andre Gusmao,227,exact,100
Andre Lima,228,exact,100
Andre Muniz,229,exact,100
Andre Pederneiras,231,exact,100
Andre Petroski,232,exact,100
Andre Roberts,233,exact,100
Andre Soukhamthath,235,exact,100
Andre Winner,237,exact,100
Andrea Lee,238,exact,100
Andreas Gustafsson,239,exact,100
Andreas Michailidis,240,exact,100
Andreas Stahl,242,exact,100
Andrei Arlovski,243,exact,100
Andrei Semenov,245,exact,100
Andrew Craig,246,exact,100
Andrew Holbrook,247,exact,100
Andrew Sanchez,251,exact,100
Andrey Pulyaev,256,exact,100
Andy Anderson,257,exact,100
Andy Enz,258,exact,100
Andy Ogle,260,exact,100
Andy Wang,263,exact,100
Ange Loosa,267,exact,100
Angel Pacheco,269,exact,100
Angela Hill,270,exact,100
Angela Magana,271,exact,100
Anistavio Medeiros,275,exact,100
Anna Elmose,276,exact,100
Ansar Chalangov,277,exact,100
Anshul Jubli,278,exact,100
Ante Delija,279,exact,100
Anthony Birchak,283,exact,100
Anthony Christodoulou,284,exact,100
Anthony Hamilton,289,exact,100
Anthony Hernandez,290,exact,100
Anthony Ivy,291,exact,100
Anthony Johnson,292,exact,100
Anthony Lapsley,293,exact,100
Anthony Macias,295,exact,100
Anthony Njokuani,297,exact,100
Anthony Perosh,298,exact,100
Anthony Pettis,299,exact,100
Anthony Rocco Martin,300,exact,100
Anthony Smith,303,exact,100
Anthony Torres,305,exact,100
Anton Kuivanen,307,exact,100
Anton Turkalj,308,exact,100
Anton Zafir,309,exact,100
Antoni Hardonk,310,exact,100
Antonina Shevchenko,311,exact,100
Antonio Arroyo,312,exact,100
Antonio Banuelos,313,exact,100
Antonio Braga Neto,314,exact,100
Antonio Carlos Junior,315,exact,100
